image,actual,rater,estimate,method,error,abs_error
set_12_10_obj2.png,3.77,R1OLD,1.2,aidedold,-2.5700000000000003,2.5700000000000003
set_12_10_obj2.png,3.77,R2OLD,0.8,aidedold,-2.9699999999999998,2.9699999999999998
set_12_10_obj2.png,3.77,R1NEW,1,aidednew,-2.77,2.77
set_12_10_obj2.png,3.77,R2NEW,1.5,aidednew,-2.27,2.27
set_12_22_obj2.png,1.52,R1OLD,0.2,aidedold,-1.32,1.32
set_12_22_obj2.png,1.52,R2OLD,0.1,aidedold,-1.42,1.42
set_12_22_obj2.png,1.52,R1NEW,0.2,aidednew,-1.32,1.32
set_12_22_obj2.png,1.52,R2NEW,0.1,aidednew,-1.42,1.42
set_12_25_obj0.png,5.87,R1OLD,1,aidedold,-4.87,4.87
set_12_25_obj0.png,5.87,R2OLD,7,aidedold,1.13,1.13
set_12_25_obj0.png,5.87,R1NEW,2,aidednew,-3.87,3.87
set_12_25_obj0.png,5.87,R2NEW,8,aidednew,2.13,2.13
set_12_30_obj3.png,6.24,R1OLD,0.7,aidedold,-5.54,5.54
set_12_30_obj3.png,6.24,R2OLD,0.7,aidedold,-5.54,5.54
set_12_30_obj3.png,6.24,R1NEW,0.5,aidednew,-5.74,5.74
set_12_30_obj3.png,6.24,R2NEW,0.8,aidednew,-5.44,5.44
set_12_31_obj0.png,5.94,R1OLD,1.2,aidedold,-4.74,4.74
set_12_31_obj0.png,5.94,R2OLD,5,aidedold,-0.9400000000000004,0.9400000000000004
set_12_31_obj0.png,5.94,R1NEW,2.7,aidednew,-3.24,3.24
set_12_31_obj0.png,5.94,R2NEW,10,aidednew,4.06,4.06
set_12_31_obj1.png,5.57,R1OLD,1.9,aidedold,-3.6700000000000004,3.6700000000000004
set_12_31_obj1.png,5.57,R2OLD,1,aidedold,-4.57,4.57
set_12_31_obj1.png,5.57,R1NEW,5,aidednew,-0.5700000000000003,0.5700000000000003
set_12_31_obj1.png,5.57,R2NEW,3,aidednew,-2.5700000000000003,2.5700000000000003
set_12_37_obj3.png,6.7,R1OLD,4.5,aidedold,-2.2,2.2
set_12_37_obj3.png,6.7,R2OLD,3.5,aidedold,-3.2,3.2
