evaluator,plant,branch,leaf,S1,sad,time,field,evaluator2
DEBORA,1,1,1,3,Old,46,A,A
DEBORA,1,1,1,3,New,32,A,A
DEBORA,1,2,1,2.5,Old,96,A,A
DEBORA,1,2,1,2.5,New,46,A,A
DEBORA,1,3,1,0.8,Old,30,A,A
DEBORA,1,3,1,0.8,New,33,A,A
DEBORA,1,4,1,0,Old,10,A,A
DEBORA,1,4,1,0,New,10,A,A
DEBORA,2,1,1,0.1,Old,20,A,A
DEBORA,2,1,1,0.1,New,20,A,A
DEBORA,2,2,1,0.2,Old,18,A,A
DEBORA,2,2,1,0.2,New,15,A,A
DEBORA,2,3,1,0.5,Old,49,A,A
DEBORA,2,3,1,0.5,New,20,A,A
DEBORA,2,4,1,0,Old,45,A,A
DEBORA,2,4,1,0,New,27,A,A
DEBORA,3,1,1,2,Old,75,A,A
DEBORA,3,1,1,2,New,36,A,A
DEBORA,3,2,1,0.7,Old,39,A,A
DEBORA,3,2,1,0.7,New,32,A,A
DEBORA,3,3,1,0,Old,35,A,A
DEBORA,3,3,1,0,New,35,A,A
DEBORA,3,4,1,0.1,Old,17,A,A
DEBORA,3,4,1,0.1,New,17,A,A
DEBORA,4,1,1,0.2,Old,33,A,A
DEBORA,4,1,1,0.2,New,12,A,A
DEBORA,4,2,1,0,Old,30,A,A
DEBORA,4,2,1,0,New,25,A,A
DEBORA,4,3,1,0,Old,15,A,A
DEBORA,4,3,1,0,New,14,A,A
DEBORA,4,4,1,0.2,Old,22,A,A
DEBORA,4,4,1,0.2,New,22,A,A
DEBORA,5,1,1,0,Old,16,A,A
DEBORA,5,1,1,0,New,16,A,A
DEBORA,5,2,1,2.5,Old,45,A,A
DEBORA,5,2,1,2.5,New,42,A,A
DEBORA,5,3,1,0,Old,25,A,A
DEBORA,5,3,1,0,New,25,A,A
DEBORA,5,4,1,0,Old,20,A,A
DEBORA,5,4,1,0,New,20,A,A
DEBORA,6,1,1,0,Old,33,A,A
DEBORA,6,1,1,0,New,12,A,A
DEBORA,6,2,1,0,Old,27,A,A
DEBORA,6,2,1,0,New,23,A,A
DEBORA,6,3,1,0,Old,24,A,A
DEBORA,6,3,1,0,New,27,A,A
DEBORA,6,4,1,0.1,Old,44,A,A
DEBORA,6,4,1,0.1,New,44,A,A
DEBORA,7,1,1,0,Old,33,A,A
DEBORA,7,1,1,0,New,33,A,A
DEBORA,7,2,1,0.2,Old,17,A,A
DEBORA,7,2,1,0.2,New,17,A,A
DEBORA,7,3,1,0.2,Old,18,A,A
DEBORA,7,3,1,0.2,New,16,A,A
DEBORA,7,4,1,1.5,Old,37,A,A
DEBORA,7,4,1,1.5,New,36,A,A
DEBORA,8,1,1,0,Old,44,A,A
DEBORA,8,1,1,0,New,44,A,A
DEBORA,8,2,1,0,Old,50,A,A
DEBORA,8,2,1,0,New,15,A,A
DEBORA,8,3,1,1.5,Old,58,A,A
DEBORA,8,3,1,1.5,New,44,A,A
DEBORA,8,4,1,0.2,Old,70,A,A
DEBORA,8,4,1,0.2,New,58,A,A
DEBORA,9,1,1,3.5,Old,56,A,A
DEBORA,9,1,1,3.5,New,30,A,A
DEBORA,9,2,1,0.2,Old,20,A,A
DEBORA,9,2,1,0.2,New,20,A,A
DEBORA,9,3,1,0.3,Old,34,A,A
DEBORA,9,3,1,0.3,New,32,A,A
DEBORA,9,4,1,0,Old,35,A,A
DEBORA,9,4,1,0,New,21,A,A
